policy_id,x,n,t,OIS,OID,k,delta,surrender_value
10,613,263,26,1000.0,3000.0,0.3333333333333333,0.0,244.6443061876923
10,613,263,65,1000.0,3000.0,0.3333333333333333,0.0,616.8492577354274
10,613,263,131,1000.0,3000.0,0.3333333333333333,0.0,1000.0
10,613,263,197,1000.0,3000.0,0.3333333333333333,0.0,1000.0
10,613,263,263,1000.0,3000.0,0.3333333333333333,0.0,1000.0
11,398,288,28,1000.0,1000.0,1.0,0.0,92.35644511123223
11,398,288,72,1000.0,1000.0,1.0,0.0,238.06694979175765
11,398,288,144,1000.0,1000.0,1.0,0.0,478.31952420443514
11,398,288,216,1000.0,1000.0,1.0,0.0,720.8886677112432
11,398,288,288,1000.0,1000.0,1.0,0.0,970.0
12,242,52,5,5000.0,1000.0,5.0,1.0,92.88572001722609
12,242,52,13,5000.0,1000.0,5.0,1.0,241.64671798376773
12,242,52,26,5000.0,1000.0,5.0,1.0,483.7922470529451
12,242,52,39,5000.0,1000.0,5.0,1.0,726.5423830962588
12,242,52,52,5000.0,1000.0,5.0,1.0,970.0
13,693,158,15,1000.0,2000.0,0.5,0.0,167.78350689105787
13,693,158,39,1000.0,2000.0,0.5,0.0,439.65749263022263
13,693,158,79,1000.0,2000.0,0.5,0.0,907.7226483098452
13,693,158,118,1000.0,2000.0,0.5,0.0,1000.0
13,693,158,158,1000.0,2000.0,0.5,0.0,1000.0
14,518,374,37,1000.0,5000.0,0.2,0.0,373.24489918669144
14,518,374,93,1000.0,5000.0,0.2,0.0,947.1012360875332
14,518,374,187,1000.0,5000.0,0.2,0.0,1000.0
14,518,374,280,1000.0,5000.0,0.2,0.0,1000.0
14,518,374,374,1000.0,5000.0,0.2,0.0,1000.0
15,268,118,11,3000.0,1000.0,3.0,0.5,89.3621256629282
15,268,118,29,3000.0,1000.0,3.0,0.5,236.20492222811407
15,268,118,59,3000.0,1000.0,3.0,0.5,481.8752707945667
15,268,118,88,3000.0,1000.0,3.0,0.5,721.0479034728369
15,268,118,118,3000.0,1000.0,3.0,0.5,970.0
16,478,266,26,3000.0,1000.0,3.0,0.5,123.01075779633459
16,478,266,66,3000.0,1000.0,3.0,0.5,306.29925578958154
16,478,266,133,3000.0,1000.0,3.0,0.5,588.0731725669435
16,478,266,199,3000.0,1000.0,3.0,0.5,813.0728655964691
16,478,266,266,3000.0,1000.0,3.0,0.5,970.0000000000001
17,496,144,14,1000.0,1000.0,1.0,0.0,92.73581957479145
17,496,144,36,1000.0,1000.0,1.0,0.0,238.92933725293003
17,496,144,72,1000.0,1000.0,1.0,0.0,479.6458105431161
17,496,144,108,1000.0,1000.0,1.0,0.0,722.8010661839897
17,496,144,144,1000.0,1000.0,1.0,0.0,970.0
18,461,286,28,1000.0,4000.0,0.25,0.0,347.2362656397122
18,461,286,71,1000.0,4000.0,0.25,0.0,885.8749558759745
18,461,286,143,1000.0,4000.0,0.25,0.0,1000.0
18,461,286,214,1000.0,4000.0,0.25,0.0,1000.0
18,461,286,286,1000.0,4000.0,0.25,0.0,1000.0
19,593,269,26,1000.0,4000.0,0.25,0.0,317.2817244039443
19,593,269,67,1000.0,4000.0,0.25,0.0,825.5818362193655
19,593,269,134,1000.0,4000.0,0.25,0.0,1000.0
19,593,269,201,1000.0,4000.0,0.25,0.0,1000.0
19,593,269,269,1000.0,4000.0,0.25,0.0,1000.0
20,613,230,23,4000.0,1000.0,4.0,0.75,175.21032877910645
20,613,230,57,4000.0,1000.0,4.0,0.75,411.11703069975766
20,613,230,115,4000.0,1000.0,4.0,0.75,740.6737823113092
20,613,230,172,4000.0,1000.0,4.0,0.75,949.4189027276431
20,613,230,230,4000.0,1000.0,4.0,0.75,970.0
21,455,101,10,1000.0,4000.0,0.25,0.0,377.92505667963593
21,455,101,25,1000.0,4000.0,0.25,0.0,946.9747566072089
21,455,101,50,1000.0,4000.0,0.25,0.0,1000.0
21,455,101,75,1000.0,4000.0,0.25,0.0,1000.0
21,455,101,101,1000.0,4000.0,0.25,0.0,1000.0
22,311,121,12,4000.0,1000.0,4.0,0.75,95.27203522248045
22,311,121,30,4000.0,1000.0,4.0,0.75,238.73094160963382
22,311,121,60,4000.0,1000.0,4.0,0.75,479.1143372569801
22,311,121,90,4000.0,1000.0,4.0,0.75,720.4789543596445
22,311,121,121,4000.0,1000.0,4.0,0.75,970.0000000000001
23,235,128,12,1000.0,4000.0,0.25,0.0,358.42385016634506
23,235,128,32,1000.0,4000.0,0.25,0.0,958.1362258127247
23,235,128,64,1000.0,4000.0,0.25,0.0,1000.0
23,235,128,96,1000.0,4000.0,0.25,0.0,1000.0
23,235,128,128,1000.0,4000.0,0.25,0.0,1000.0
24,572,137,13,1000.0,4000.0,0.25,0.0,351.4812095959889
24,572,137,34,1000.0,4000.0,0.25,0.0,923.7630418678225
24,572,137,68,1000.0,4000.0,0.25,0.0,1000.0
24,572,137,102,1000.0,4000.0,0.25,0.0,1000.0
24,572,137,137,1000.0,4000.0,0.25,0.0,1000.0
25,216,399,39,2000.0,1000.0,2.0,0.25,95.51365189646921
25,216,399,99,2000.0,1000.0,2.0,0.25,243.13818060063812
25,216,399,199,2000.0,1000.0,2.0,0.25,492.55000616474825
25,216,399,299,2000.0,1000.0,2.0,0.25,739.9149458979587
25,216,399,399,2000.0,1000.0,2.0,0.25,969.9999999999999
26,236,344,34,1000.0,3000.0,0.3333333333333333,0.0,274.18332373237513
26,236,344,86,1000.0,3000.0,0.3333333333333333,0.0,697.9208745348589
26,236,344,172,1000.0,3000.0,0.3333333333333333,0.0,1000.0
26,236,344,258,1000.0,3000.0,0.3333333333333333,0.0,1000.0
26,236,344,344,1000.0,3000.0,0.3333333333333333,0.0,1000.0
27,541,354,35,1000.0,5000.0,0.2,0.0,373.3341055160927
27,541,354,88,1000.0,5000.0,0.2,0.0,947.8923904591232
27,541,354,177,1000.0,5000.0,0.2,0.0,1000.0
27,541,354,265,1000.0,5000.0,0.2,0.0,1000.0
27,541,354,354,1000.0,5000.0,0.2,0.0,1000.0
28,633,60,6,1000.0,2000.0,0.5,0.0,190.0325188883566
28,633,60,15,1000.0,2000.0,0.5,0.0,476.4587123533256
28,633,60,30,1000.0,2000.0,0.5,0.0,957.8550921538346
28,633,60,45,1000.0,2000.0,0.5,0.0,1000.0
28,633,60,60,1000.0,2000.0,0.5,0.0,1000.0
29,312,190,19,1000.0,4000.0,0.25,0.0,378.5879620818878
29,312,190,47,1000.0,4000.0,0.25,0.0,939.9100789884466
29,312,190,95,1000.0,4000.0,0.25,0.0,1000.0
29,312,190,142,1000.0,4000.0,0.25,0.0,1000.0
29,312,190,190,1000.0,4000.0,0.25,0.0,1000.0
30,688,76,7,1000.0,4000.0,0.25,0.0,342.9453243126923
30,688,76,19,1000.0,4000.0,0.25,0.0,935.9410080004243
30,688,76,38,1000.0,4000.0,0.25,0.0,1000.0
30,688,76,57,1000.0,4000.0,0.25,0.0,1000.0
30,688,76,76,1000.0,4000.0,0.25,0.0,1000.0
31,664,119,11,1000.0,3000.0,0.3333333333333333,0.0,252.96720232483966
31,664,119,29,1000.0,3000.0,0.3333333333333333,0.0,671.5532783405995
31,664,119,59,1000.0,3000.0,0.3333333333333333,0.0,1000.0
31,664,119,89,1000.0,3000.0,0.3333333333333333,0.0,1000.0
31,664,119,119,1000.0,3000.0,0.3333333333333333,0.0,1000.0
32,259,320,32,1000.0,1000.0,1.0,0.0,93.8347903624714
32,259,320,80,1000.0,1000.0,1.0,0.0,235.86794115683256
32,259,320,160,1000.0,1000.0,1.0,0.0,476.2056694582246
32,259,320,240,1000.0,1000.0,1.0,0.0,720.5302342058528
32,259,320,320,1000.0,1000.0,1.0,0.0,970.0
33,380,30,3,1000.0,1000.0,1.0,0.0,96.65248462008252
33,380,30,7,1000.0,1000.0,1.0,0.0,225.64748345657833
33,380,30,15,1000.0,1000.0,1.0,0.0,484.0388880029427
33,380,30,22,1000.0,1000.0,1.0,0.0,710.5791094403197
33,380,30,30,1000.0,1000.0,1.0,0.0,970.0000000000001
34,247,101,10,1000.0,1000.0,1.0,0.0,94.97324900780556
34,247,101,25,1000.0,1000.0,1.0,0.0,237.84152671125716
34,247,101,50,1000.0,1000.0,1.0,0.0,477.14628127455666
34,247,101,75,1000.0,1000.0,1.0,0.0,717.9356349403665
34,247,101,101,1000.0,1000.0,1.0,0.0,969.9999999999999
35,307,35,3,1000.0,1000.0,1.0,0.0,82.8075688960539
35,307,35,8,1000.0,1000.0,1.0,0.0,220.9480242294269
35,307,35,17,1000.0,1000.0,1.0,0.0,470.05122833103195
35,307,35,26,1000.0,1000.0,1.0,0.0,719.7347351052993
35,307,35,35,1000.0,1000.0,1.0,0.0,970.0
36,456,249,24,1000.0,2000.0,0.5,0.0,177.88774286229452
36,456,249,62,1000.0,2000.0,0.5,0.0,461.4609722369294
36,456,249,124,1000.0,2000.0,0.5,0.0,930.9040505567378
36,456,249,186,1000.0,2000.0,0.5,0.0,1000.0
36,456,249,249,1000.0,2000.0,0.5,0.0,1000.0
37,290,314,31,1000.0,1000.0,1.0,0.0,92.77683373662246
37,290,314,78,1000.0,1000.0,1.0,0.0,234.74410153551992
37,290,314,157,1000.0,1000.0,1.0,0.0,476.6438882175651
37,290,314,235,1000.0,1000.0,1.0,0.0,719.1368132446034
37,290,314,314,1000.0,1000.0,1.0,0.0,970.0000000000001
38,375,228,22,1000.0,5000.0,0.2,0.0,449.951769424609
38,375,228,57,1000.0,5000.0,0.2,0.0,1000.0
38,375,228,114,1000.0,5000.0,0.2,0.0,1000.0
38,375,228,171,1000.0,5000.0,0.2,0.0,1000.0
38,375,228,228,1000.0,5000.0,0.2,0.0,1000.0
39,362,316,31,2000.0,1000.0,2.0,0.25,100.65513577763826
39,362,316,79,2000.0,1000.0,2.0,0.25,256.82022882328795
39,362,316,158,2000.0,1000.0,2.0,0.25,510.8380237520749
39,362,316,237,2000.0,1000.0,2.0,0.25,753.2222901308168
39,362,316,316,2000.0,1000.0,2.0,0.25,970.0
40,623,274,27,5000.0,1000.0,5.0,1.0,297.0065502402438
40,623,274,68,5000.0,1000.0,5.0,1.0,700.0912679178249
40,623,274,137,5000.0,1000.0,5.0,1.0,1209.5083427012487
40,623,274,205,5000.0,1000.0,5.0,1.0,1414.5377461409282
40,623,274,274,5000.0,1000.0,5.0,1.0,970.0
41,483,236,23,1000.0,5000.0,0.2,0.0,439.5218060971215
41,483,236,59,1000.0,5000.0,0.2,0.0,1000.0
41,483,236,118,1000.0,5000.0,0.2,0.0,1000.0
41,483,236,177,1000.0,5000.0,0.2,0.0,1000.0
41,483,236,236,1000.0,5000.0,0.2,0.0,1000.0
42,650,26,2,1000.0,1000.0,1.0,0.0,73.92963189711368
42,650,26,6,1000.0,1000.0,1.0,0.0,222.12946933929487
42,650,26,13,1000.0,1000.0,1.0,0.0,482.539038698043
42,650,26,19,1000.0,1000.0,1.0,0.0,706.8597405893313
42,650,26,26,1000.0,1000.0,1.0,0.0,969.9999999999999
43,589,58,5,1000.0,1000.0,1.0,0.0,82.55560610329665
43,589,58,14,1000.0,1000.0,1.0,0.0,231.62101805567997
43,589,58,29,1000.0,1000.0,1.0,0.0,481.2917041628241
43,589,58,43,1000.0,1000.0,1.0,0.0,716.0921965204756
43,589,58,58,1000.0,1000.0,1.0,0.0,970.0000000000001
44,397,155,15,1000.0,1000.0,1.0,0.0,92.36527328037587
44,397,155,38,1000.0,1000.0,1.0,0.0,234.47196892056184
44,397,155,77,1000.0,1000.0,1.0,0.0,477.063778621945
44,397,155,116,1000.0,1000.0,1.0,0.0,722.062790652372
44,397,155,155,1000.0,1000.0,1.0,0.0,970.0
45,403,364,36,4000.0,1000.0,4.0,0.75,166.8954357651123
45,403,364,91,4000.0,1000.0,4.0,0.75,414.29672018392466
45,403,364,182,4000.0,1000.0,4.0,0.75,775.3640401530779
45,403,364,273,4000.0,1000.0,4.0,0.75,995.61904706745
45,403,364,364,4000.0,1000.0,4.0,0.75,970.0000000000001
46,486,351,35,5000.0,1000.0,5.0,1.0,273.3916428654248
46,486,351,87,5000.0,1000.0,5.0,1.0,650.6974600857831
46,486,351,175,5000.0,1000.0,5.0,1.0,1137.187295163013
46,486,351,263,5000.0,1000.0,5.0,1.0,1321.1186004978638
46,486,351,351,5000.0,1000.0,5.0,1.0,970.0
47,466,327,32,2000.0,1000.0,2.0,0.25,114.949430161118
47,466,327,81,2000.0,1000.0,2.0,0.25,287.08631439507445
47,466,327,163,2000.0,1000.0,2.0,0.25,556.5424570321001
47,466,327,245,2000.0,1000.0,2.0,0.25,788.4274603541377
47,466,327,327,2000.0,1000.0,2.0,0.25,970.0000000000001
48,249,405,40,2000.0,1000.0,2.0,0.25,98.64427316216458
48,249,405,101,2000.0,1000.0,2.0,0.25,250.36265033190688
48,249,405,202,2000.0,1000.0,2.0,0.25,503.7900998134981
48,249,405,303,2000.0,1000.0,2.0,0.25,750.3643417724314
48,249,405,405,2000.0,1000.0,2.0,0.25,970.0
49,513,68,6,1000.0,3000.0,0.3333333333333333,0.0,253.50214797551615
49,513,68,17,1000.0,3000.0,0.3333333333333333,0.0,719.6276837363052
49,513,68,34,1000.0,3000.0,0.3333333333333333,0.0,1000.0
49,513,68,51,1000.0,3000.0,0.3333333333333333,0.0,1000.0
49,513,68,68,1000.0,3000.0,0.3333333333333333,0.0,1000.0
50,272,346,34,1000.0,1000.0,1.0,0.0,92.12218723999149
50,272,346,86,1000.0,1000.0,1.0,0.0,234.37908108988916
50,272,346,173,1000.0,1000.0,1.0,0.0,476.05377991710805
50,272,346,259,1000.0,1000.0,1.0,0.0,718.7908675802548
50,272,346,346,1000.0,1000.0,1.0,0.0,970.0000000000001
51,542,208,20,3000.0,1000.0,3.0,0.5,115.99521551553718
51,542,208,52,3000.0,1000.0,3.0,0.5,294.2027928077871
51,542,208,104,3000.0,1000.0,3.0,0.5,559.2316079433273
51,542,208,156,3000.0,1000.0,3.0,0.5,788.2888831433453
51,542,208,208,3000.0,1000.0,3.0,0.5,969.9999999999999
52,218,246,24,1000.0,2000.0,0.5,0.0,183.99887516998191
52,218,246,61,1000.0,2000.0,0.5,0.0,469.6155734383527
52,218,246,123,1000.0,2000.0,0.5,0.0,954.1390294810435
52,218,246,184,1000.0,2000.0,0.5,0.0,1000.0
52,218,246,246,1000.0,2000.0,0.5,0.0,1000.0
53,273,241,24,5000.0,1000.0,5.0,1.0,99.67725845136349
53,273,241,60,5000.0,1000.0,5.0,1.0,248.86683513259175
53,273,241,120,5000.0,1000.0,5.0,1.0,498.65496336712374
53,273,241,180,5000.0,1000.0,5.0,1.0,742.2051961389643
53,273,241,241,5000.0,1000.0,5.0,1.0,970.0
54,355,77,7,1000.0,5000.0,0.2,0.0,436.7690314431319
54,355,77,19,1000.0,5000.0,0.2,0.0,1000.0
54,355,77,38,1000.0,5000.0,0.2,0.0,1000.0
54,355,77,57,1000.0,5000.0,0.2,0.0,1000.0
54,355,77,77,1000.0,5000.0,0.2,0.0,1000.0
55,261,208,20,1000.0,4000.0,0.25,0.0,363.6679262150872
55,261,208,52,1000.0,4000.0,0.25,0.0,949.3630537473666
55,261,208,104,1000.0,4000.0,0.25,0.0,1000.0
55,261,208,156,1000.0,4000.0,0.25,0.0,1000.0
55,261,208,208,1000.0,4000.0,0.25,0.0,1000.0
56,243,244,24,1000.0,1000.0,1.0,0.0,92.91119811232892
56,243,244,61,1000.0,1000.0,1.0,0.0,237.15345687228591
56,243,244,122,1000.0,1000.0,1.0,0.0,477.7455267869119
56,243,244,183,1000.0,1000.0,1.0,0.0,721.9752787652004
56,243,244,244,1000.0,1000.0,1.0,0.0,970.0
57,336,409,40,1000.0,4000.0,0.25,0.0,339.9185053798886
57,336,409,102,1000.0,4000.0,0.25,0.0,873.6160572855745
57,336,409,204,1000.0,4000.0,0.25,0.0,1000.0
57,336,409,306,1000.0,4000.0,0.25,0.0,1000.0
57,336,409,409,1000.0,4000.0,0.25,0.0,1000.0
58,470,413,41,5000.0,1000.0,5.0,1.0,358.80213622217775
58,470,413,103,5000.0,1000.0,5.0,1.0,864.8941344849493
58,470,413,206,5000.0,1000.0,5.0,1.0,1504.5878767116267
58,470,413,309,5000.0,1000.0,5.0,1.0,1723.170478806566
58,470,413,413,5000.0,1000.0,5.0,1.0,970.0
59,620,146,14,5000.0,1000.0,5.0,1.0,131.13108005630366
59,620,146,36,5000.0,1000.0,5.0,1.0,323.09564639146174
59,620,146,73,5000.0,1000.0,5.0,1.0,606.8194201913617
59,620,146,109,5000.0,1000.0,5.0,1.0,820.3178076078398
59,620,146,146,5000.0,1000.0,5.0,1.0,970.0
60,493,199,19,5000.0,1000.0,5.0,1.0,128.99829368007667
60,493,199,49,5000.0,1000.0,5.0,1.0,324.485828266665
60,493,199,99,5000.0,1000.0,5.0,1.0,615.8945055763583
60,493,199,149,5000.0,1000.0,5.0,1.0,837.9059501166118
60,493,199,199,5000.0,1000.0,5.0,1.0,969.9999999999999
61,446,88,8,5000.0,1000.0,5.0,1.0,89.78358217474509
61,446,88,22,5000.0,1000.0,5.0,1.0,246.28954161761484
61,446,88,44,5000.0,1000.0,5.0,1.0,491.70170516580674
61,446,88,66,5000.0,1000.0,5.0,1.0,732.9843033166319
61,446,88,88,5000.0,1000.0,5.0,1.0,970.0000000000001
62,255,221,22,3000.0,1000.0,3.0,0.5,95.43385721363643
62,255,221,55,3000.0,1000.0,3.0,0.5,239.34126257648646
62,255,221,110,3000.0,1000.0,3.0,0.5,480.8711123149972
62,255,221,165,3000.0,1000.0,3.0,0.5,724.3469721020776
62,255,221,221,3000.0,1000.0,3.0,0.5,969.9999999999999
63,480,73,7,2000.0,1000.0,2.0,0.25,92.58196595719654
63,480,73,18,2000.0,1000.0,2.0,0.25,238.24938084341704
63,480,73,36,2000.0,1000.0,2.0,0.25,477.07146151716285
63,480,73,54,2000.0,1000.0,2.0,0.25,716.4369334172607
63,480,73,73,2000.0,1000.0,2.0,0.25,970.0000000000001
64,469,380,38,1000.0,4000.0,0.25,0.0,324.2074051082789
64,469,380,95,1000.0,4000.0,0.25,0.0,816.6676720422863
64,469,380,190,1000.0,4000.0,0.25,0.0,1000.0
64,469,380,285,1000.0,4000.0,0.25,0.0,1000.0
64,469,380,380,1000.0,4000.0,0.25,0.0,1000.0
65,251,420,42,1000.0,4000.0,0.25,0.0,358.10922613215837
65,251,420,105,1000.0,4000.0,0.25,0.0,902.3362250823369
65,251,420,210,1000.0,4000.0,0.25,0.0,1000.0
65,251,420,315,1000.0,4000.0,0.25,0.0,1000.0
65,251,420,420,1000.0,4000.0,0.25,0.0,1000.0
66,695,36,3,1000.0,1000.0,1.0,0.0,79.57484939618327
66,695,36,9,1000.0,1000.0,1.0,0.0,239.29481475030843
66,695,36,18,1000.0,1000.0,1.0,0.0,480.5722056625193
66,695,36,27,1000.0,1000.0,1.0,0.0,724.0631424970352
66,695,36,36,1000.0,1000.0,1.0,0.0,970.0
67,424,88,8,1000.0,3000.0,0.3333333333333333,0.0,261.305487224686
67,424,88,22,1000.0,3000.0,0.3333333333333333,0.0,719.969881817033
67,424,88,44,1000.0,3000.0,0.3333333333333333,0.0,1000.0
67,424,88,66,1000.0,3000.0,0.3333333333333333,0.0,1000.0
67,424,88,88,1000.0,3000.0,0.3333333333333333,0.0,1000.0
68,522,291,29,5000.0,1000.0,5.0,1.0,228.12501010992915
68,522,291,72,5000.0,1000.0,5.0,1.0,537.7737543501456
68,522,291,145,5000.0,1000.0,5.0,1.0,938.9212391020246
68,522,291,218,5000.0,1000.0,5.0,1.0,1123.356831156072
68,522,291,291,5000.0,1000.0,5.0,1.0,970.0
69,414,101,10,1000.0,2000.0,0.5,0.0,189.54456799003273
69,414,101,25,1000.0,2000.0,0.5,0.0,474.7511849681642
69,414,101,50,1000.0,2000.0,0.5,0.0,952.7563568682561
69,414,101,75,1000.0,2000.0,0.5,0.0,1000.0
69,414,101,101,1000.0,2000.0,0.5,0.0,1000.0
70,385,288,28,1000.0,1000.0,1.0,0.0,92.24809328706604
70,385,288,72,1000.0,1000.0,1.0,0.0,237.88342758311992
70,385,288,144,1000.0,1000.0,1.0,0.0,478.1810524320996
70,385,288,216,1000.0,1000.0,1.0,0.0,721.0312352890419
70,385,288,288,1000.0,1000.0,1.0,0.0,970.0
71,500,182,18,2000.0,1000.0,2.0,0.25,99.78612385187431
71,500,182,45,2000.0,1000.0,2.0,0.25,248.47943632613845
71,500,182,91,2000.0,1000.0,2.0,0.25,498.08563479381513
71,500,182,136,2000.0,1000.0,2.0,0.25,735.148299891047
71,500,182,182,2000.0,1000.0,2.0,0.25,970.0
72,428,287,28,1000.0,4000.0,0.25,0.0,350.6666312756275
72,428,287,71,1000.0,4000.0,0.25,0.0,894.4854340175092
72,428,287,143,1000.0,4000.0,0.25,0.0,1000.0
72,428,287,215,1000.0,4000.0,0.25,0.0,1000.0
72,428,287,287,1000.0,4000.0,0.25,0.0,1000.0
73,307,402,40,1000.0,1000.0,1.0,0.0,93.62100569157055
73,307,402,100,1000.0,1000.0,1.0,0.0,235.64671145716082
73,307,402,201,1000.0,1000.0,1.0,0.0,477.4130657068769
73,307,402,301,1000.0,1000.0,1.0,0.0,718.9629450131602
73,307,402,402,1000.0,1000.0,1.0,0.0,970.0
74,421,205,20,1000.0,3000.0,0.3333333333333333,0.0,273.5913070059139
74,421,205,51,1000.0,3000.0,0.3333333333333333,0.0,700.5384033948603
74,421,205,102,1000.0,3000.0,0.3333333333333333,0.0,1000.0
74,421,205,153,1000.0,3000.0,0.3333333333333333,0.0,1000.0
74,421,205,205,1000.0,3000.0,0.3333333333333333,0.0,1000.0
75,696,97,9,1000.0,1000.0,1.0,0.0,86.65978845879599
75,696,97,24,1000.0,1000.0,1.0,0.0,232.21274186407433
75,696,97,48,1000.0,1000.0,1.0,0.0,468.2769379809302
75,696,97,72,1000.0,1000.0,1.0,0.0,710.0459715846948
75,696,97,97,1000.0,1000.0,1.0,0.0,970.0000000000001
76,293,329,32,1000.0,1000.0,1.0,0.0,91.33706973789664
76,293,329,82,1000.0,1000.0,1.0,0.0,235.45561272852066
76,293,329,164,1000.0,1000.0,1.0,0.0,475.0565037589232
76,293,329,246,1000.0,1000.0,1.0,0.0,718.270540189644
76,293,329,329,1000.0,1000.0,1.0,0.0,970.0
77,313,230,23,1000.0,5000.0,0.2,0.0,469.5774162290837
77,313,230,57,1000.0,5000.0,0.2,0.0,1000.0
77,313,230,115,1000.0,5000.0,0.2,0.0,1000.0
77,313,230,172,1000.0,5000.0,0.2,0.0,1000.0
77,313,230,230,1000.0,5000.0,0.2,0.0,1000.0
78,705,148,14,2000.0,1000.0,2.0,0.25,98.55567452389243
78,705,148,37,2000.0,1000.0,2.0,0.25,257.3834803211714
78,705,148,74,2000.0,1000.0,2.0,0.25,506.87216791851887
78,705,148,111,2000.0,1000.0,2.0,0.25,745.0844442547982
78,705,148,148,2000.0,1000.0,2.0,0.25,970.0
79,294,346,34,2000.0,1000.0,2.0,0.25,97.4372064921044
79,294,346,86,2000.0,1000.0,2.0,0.25,247.76949776379774
79,294,346,173,2000.0,1000.0,2.0,0.25,500.07374253113073
79,294,346,259,2000.0,1000.0,2.0,0.25,743.7267154905495
79,294,346,346,2000.0,1000.0,2.0,0.25,970.0
80,448,74,7,5000.0,1000.0,5.0,1.0,92.6544999748341
80,448,74,18,5000.0,1000.0,5.0,1.0,237.8053269779662
80,448,74,37,5000.0,1000.0,5.0,1.0,488.70996753628634
80,448,74,55,5000.0,1000.0,5.0,1.0,724.2881548791097
80,448,74,74,5000.0,1000.0,5.0,1.0,969.9999999999999
81,442,396,39,5000.0,1000.0,5.0,1.0,282.0297890516453
81,442,396,99,5000.0,1000.0,5.0,1.0,692.4195020768508
81,442,396,198,5000.0,1000.0,5.0,1.0,1226.5159954952708
81,442,396,297,5000.0,1000.0,5.0,1.0,1418.7813908949906
81,442,396,396,5000.0,1000.0,5.0,1.0,970.0
82,590,189,18,1000.0,4000.0,0.25,0.0,339.4945093950738
82,590,189,47,1000.0,4000.0,0.25,0.0,892.9511296771311
82,590,189,94,1000.0,4000.0,0.25,0.0,1000.0
82,590,189,141,1000.0,4000.0,0.25,0.0,1000.0
82,590,189,189,1000.0,4000.0,0.25,0.0,1000.0
83,492,167,16,4000.0,1000.0,4.0,0.75,107.28126536898299
83,492,167,41,4000.0,1000.0,4.0,0.75,271.4984378378276
